,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_slim_version,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
0,1.4422000408172608,0.08350367983525143,0.0018729686737060547,0.000683302579835678,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.081552982330322,-6.854628086090088,-9.4453763961792,-12.731008529663086,-25.221864700317383,-12.266886138916016,6.814514120955164,6,1
1,1.7799094200134278,0.06259268817410538,0.0014376640319824219,0.0003847677004538512,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-5.964534759521484,-6.338982582092285,-8.869921684265137,-12.130764961242676,-25.30602264404297,-11.72204532623291,7.14076176906975,4,1
2,1.8506479740142823,0.06714330197897025,0.0012794017791748046,0.0002491712741287863,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.038484573364258,-6.466339111328125,-9.392050743103027,-12.56502914428711,-25.234766006469727,-12.139333915710449,6.890873050139223,5,1
3,2.344365644454956,0.030859468920865184,0.0014311790466308594,0.00038565875979729776,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-7.1503143310546875,-5.761429309844971,-5.755014896392822,-7.563465118408203,-16.9084415435791,-8.627733039855958,4.203659647921765,3,1
4,1.2271368503570557,0.2649747172252185,0.0008225440979003906,0.0004118769385275913,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.794047474861145,-5.3222808837890625,-5.750749588012695,-7.567258358001709,-17.337284088134766,-7.554324078559875,5.236834123054126,2,1
5,1.111130666732788,0.043737787278142565,0.0005999088287353515,0.0004898265789454325,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-2.0010039806365967,-8.883132934570312,-3.2618300914764404,-1.720704436302185,-17.055795669555664,-6.58449342250824,5.841863140007731,1,1
0,1.3535289764404297,0.09548615155981631,0.0018237113952636718,0.0005077370121273804,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.606068134307861,-8.073426246643066,-11.669045448303223,-13.596542358398438,-25.317819595336914,-13.2525803565979,6.432769669801817,6,2
1,1.0746017456054688,0.0920442345200005,0.0008718013763427734,0.0004572771039530082,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-5.86360502243042,-6.2377519607543945,-10.390716552734375,-11.913451194763184,-25.388261795043945,-11.958757305145264,7.109053084470546,4,2
2,1.0628982543945313,0.07336039701988681,0.0007045269012451172,0.000402212920241857,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-6.90653657913208,-6.933520317077637,-10.74943733215332,-12.522663116455078,-25.308124542236328,-12.484056377410889,6.77324583439596,5,2
3,1.41333909034729,0.09498645785709253,0.0008016586303710938,0.0004008437232823123,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-6.8438005447387695,-5.459625244140625,-6.193088054656982,-12.507726669311523,-16.50316619873047,-9.501481342315675,4.298986761566534,3,2
4,1.0827714443206786,0.04817386097708206,0.0007586956024169921,0.0006501503271733512,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.2711187601089478,-5.347455978393555,-6.239319801330566,-9.055177688598633,-1.921631097793579,-4.766940665245056,2.870903427309965,1,2
5,1.0805348873138427,0.04926762790361266,0.0006014347076416015,0.0004910819377690013,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-1.6417101621627808,-9.867082595825195,-6.043550968170166,-8.80813980102539,-16.650604248046875,-8.602217555046082,4.927763260791348,2,2
0,1.2595496654510498,0.04882155699588844,0.0016354084014892577,0.00043622330366544475,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.4269795417785645,-7.84378719329834,-11.053328514099121,-12.172286987304688,-25.070207595825195,-12.713317966461181,6.440476763496629,6,3
1,1.0159164905548095,0.05462714913025545,0.0012946605682373046,0.0005847079895691176,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.290626049041748,-6.2779741287231445,-10.50356388092041,-11.093442916870117,-25.11825942993164,-11.856773281097412,6.933770385480812,4,3
2,0.9812147140502929,0.06260624543535236,0.0012300491333007812,0.00023854664224209714,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.436511039733887,-7.307798385620117,-10.945509910583496,-12.048111915588379,-25.07932472229004,-12.563451194763184,6.533571772503401,5,3
3,1.9690081119537353,0.5541523332073375,0.0013129711151123047,0.00023534824361392618,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-7.042476177215576,-5.315445899963379,-5.626793384552002,-7.858194351196289,-16.651268005371094,-8.498835563659668,4.180338612403573,3,3
4,1.3851599216461181,0.12791749358705748,0.0008871555328369141,0.0004751696277948065,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.8855801820755005,-1.5304756164550781,-3.5975186824798584,-7.772377967834473,-2.000030279159546,-3.357196545600891,2.319312228651072,1,3
5,1.516272783279419,0.042157199332075186,0.001086854934692383,0.00011180419059986207,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-1.6738717555999756,-5.908395767211914,-5.654171943664551,-7.92303466796875,-16.851289749145508,-7.60215277671814,5.048909940202953,2,3
0,1.5068914890289307,0.06264118162150467,0.001963901519775391,0.0005223419143215569,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.430027484893799,-7.212918758392334,-11.288139343261719,-12.646068572998047,-25.317934036254883,-12.779017639160156,6.619032714553216,6,4
1,1.204551601409912,0.05475205472306035,0.001598501205444336,0.0003907152463741701,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.289571285247803,-5.92660665512085,-10.869176864624023,-11.630267143249512,-25.33162498474121,-12.00944938659668,7.051841524821612,4,4
2,1.2743232250213623,0.08497744363687273,0.001433420181274414,0.0005085205589086929,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.435301780700684,-6.769418239593506,-11.4252347946167,-12.29375171661377,-25.326377868652344,-12.6500168800354,6.694652162351028,5,4
3,1.7709538459777832,0.042476779817385145,0.0018340587615966798,0.000420455760216855,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-7.498579978942871,-5.091207027435303,-6.264494895935059,-9.388729095458984,-17.98312759399414,-9.245227718353272,4.594843224023193,3,4
4,1.379734182357788,0.07553380674147483,0.0005118846893310547,0.0004596008498501396,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.7879385948181152,-3.189831495285034,-6.22227668762207,-9.025574684143066,-16.612863540649414,-7.36769700050354,5.255890305316809,1,4
5,1.3462963104248047,0.0920994861037511,0.00020227432250976562,0.00040454864501953124,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-2.056830406188965,-5.159839153289795,-6.216470241546631,-9.048961639404297,-16.677724838256836,-7.8319652557373045,4.956426280462942,2,4
0,1.4680625438690185,0.05252011948087246,0.0016383647918701172,0.0005241990055529433,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-6.893956661224365,-7.396487236022949,-11.197026252746582,-12.089178085327148,-25.643890380859375,-12.644107723236084,6.811726636389346,6,5
1,1.2703638076782227,0.11196508080880813,0.0013848304748535155,0.0005245345417322717,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-5.887502670288086,-5.881104469299316,-10.582792282104492,-11.046630859375,-25.6557559967041,-11.810757255554199,7.266656787205735,4,5
2,1.3311754703521728,0.06457596570790286,0.0014500141143798829,0.0004601625677336866,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-6.479302406311035,-6.797557353973389,-10.952564239501953,-11.932392120361328,-25.645112991333008,-12.361385822296143,6.988294697383338,5,5
3,1.6525547504425049,0.054222286509586444,0.0012160301208496093,0.0002745160092394605,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-6.542163848876953,-5.821559906005859,-6.1783270835876465,-8.463900566101074,-16.65153694152832,-8.731497669219971,4.063944652342588,3,5
4,1.2748006343841554,0.06077597578732453,0.0008380889892578125,0.0004247264185774398,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.7772647142410278,-3.526026725769043,-6.247207164764404,-8.265790939331055,-3.8526575565338135,-4.733789420127868,2.268990543165804,1,5
5,1.3444318771362305,0.05857563072502302,0.0007182598114013672,0.0005053451182708824,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-3.1325523853302,-5.329696178436279,-6.348058223724365,-8.320494651794434,-16.649410247802734,-7.956042337417602,4.657399134481443,2,5
0,1.6140874385833741,0.10030471456971073,0.001921844482421875,0.0004972402784863857,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.267207622528076,-7.227115631103516,-9.385218620300293,-14.898589134216309,-9.676409721374512,-9.69090814590454,2.7985065784952785,6,6
1,1.1923159599304198,0.06144869335907201,0.001351785659790039,0.0003668658601659117,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-4.983733654022217,-5.824924945831299,-8.59995174407959,-13.618237495422363,-8.602445602416992,-8.325858688354492,3.019449290560451,4,6
2,1.2198615550994873,0.06091950661797652,0.0015686988830566407,0.0003378513114578612,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-5.626104354858398,-6.477022171020508,-9.407491683959961,-13.824335098266602,-9.552796363830566,-8.977549934387207,2.880691283540299,5,6
3,1.647414255142212,0.11103087300255787,0.0007098197937011718,0.0004052568679228067,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-3.989264965057373,-6.275116920471191,-7.746057987213135,-11.668710708618164,-9.457406044006348,-7.827311325073242,2.6290708416783026,2,6
4,1.3291033267974854,0.06910111488191684,0.000989389419555664,0.00027257579407358764,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-6.302960395812988,-5.049045085906982,-5.905828952789307,-12.07579231262207,-9.764537811279297,-7.819632911682129,2.6659574613442967,1,6
5,1.4016332149505615,0.07387411978842025,0.0006024360656738282,0.0004919066869159681,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-7.026110649108887,-5.1245951652526855,-5.862502098083496,-11.71525764465332,-9.532312393188477,-7.852155590057373,2.4424226293122295,3,6
0,1.9990694046020507,0.3565969539173251,0.001964235305786133,0.000522315103714001,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.576064109802246,-7.114595413208008,-7.064780235290527,-11.778157234191895,-25.379152297973633,-11.782549858093262,7.022952206405014,6,7
1,1.8502491950988769,0.07595225467199375,0.0020666599273681642,0.0004866626387339214,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.399914741516113,-5.589792251586914,-6.240462779998779,-10.94807243347168,-25.371978759765625,-10.910044193267822,7.477972138519672,3,7
2,1.8121790409088134,0.27354818455432617,0.001262664794921875,0.00045667429284078473,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.57598352432251,-6.45431661605835,-7.304914951324463,-11.666990280151367,-25.387216567993164,-11.677884387969971,7.087736171170396,5,7
3,1.6028857231140137,0.09496617591731499,0.0009011268615722656,0.0004906419084800878,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-7.44935417175293,-5.977819919586182,-6.373224258422852,-9.677921295166016,-27.90631866455078,-11.476927661895752,8.314693442771144,4,7
4,1.3108437061309814,0.05282157445300054,0.000708913803100586,0.0005083581182641558,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-7.678535461425781,-6.0457305908203125,-6.3610615730285645,-8.937058448791504,-2.3895981311798096,-6.282396841049194,2.2005686605304344,1,7
5,1.4344094276428223,0.12540928088643066,0.0007023811340332031,0.0006034130161583747,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-1.6665104627609253,-6.344040393829346,-6.157934188842773,-8.642157554626465,-16.57076644897461,-7.876281809806824,4.899844309427174,2,7
0,1.7380054473876954,0.13138095533478591,0.0014795303344726563,0.0004198321309639597,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.576064109802246,-7.03494119644165,-9.566399574279785,-13.073173522949219,-25.315532684326172,-12.513222217559814,6.742159232325656,6,8
1,1.4417514324188232,0.12958185029253064,0.0017830371856689454,0.0006704787866824607,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.9111480712890625,-6.0777411460876465,-9.010782241821289,-11.997418403625488,-25.275272369384766,-11.854472446441651,7.014726772906645,4,8
2,1.317600965499878,0.06463962953545879,0.0014739513397216796,0.000404644905887708,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.411463737487793,-7.069190979003906,-8.537847518920898,-12.940443992614746,-25.294891357421875,-12.250767517089844,6.850958937359458,5,8
3,1.8096700668334962,0.0822766862313286,0.0010189533233642579,2.4969790755629177e-05,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-6.847752571105957,-5.346314430236816,-5.760526180267334,-9.081289291381836,-16.016090393066406,-8.61039457321167,3.9229822399870122,2,8
4,1.5143858432769775,0.06182792898293352,0.0008118152618408203,0.0005076229535552835,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.6434946060180664,-1.6382437944412231,-5.794926166534424,-9.142244338989258,-1.9506675004959106,-4.033915281295776,2.9996486225401533,1,8
5,1.3363576412200928,0.06579790886637348,0.0007000446319580078,0.0006005634130032926,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-7.194192409515381,-6.258396148681641,-6.557703018188477,-9.01704216003418,-16.04029083251953,-9.013524913787842,3.6416265075922745,3,8
0,1.5120747566223145,0.05333027360560398,0.0015450477600097655,0.00041384783493199416,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.650278568267822,-8.053829193115234,-10.748407363891602,-13.096159934997559,-25.301727294921875,-12.970080471038818,6.472882815680345,6,9
1,1.3011902809143066,0.11604220022764869,0.001718616485595703,0.000411978932357418,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.440003395080566,-6.575130939483643,-10.410831451416016,-12.007101058959961,-25.315692901611328,-12.149751949310303,6.929124373104026,4,9
2,1.2892351627349854,0.061162143686566105,0.0014120578765869141,0.0004833533561867852,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.638337135314941,-7.535801887512207,-9.923057556152344,-12.973084449768066,-25.298059463500977,-12.673668098449706,6.614877065442898,5,9
3,1.6168861865997315,0.03763611504542582,0.0008241653442382813,0.0004144343250600873,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-7.171937465667725,-5.948080539703369,-6.400627136230469,-8.66376781463623,-19.526941299438477,-9.542270851135253,5.076849832934026,3,9
4,1.2750326633453368,0.06635920125770935,0.0004038810729980469,0.000494651295789719,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.7525140047073364,-3.5371530055999756,-6.35646915435791,-8.608765602111816,-17.131179809570312,-7.47721631526947,5.367155756362903,1,9
5,1.3195437431335448,0.0716213948244973,0.0008929729461669922,0.00019475313829896214,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-1.7199066877365112,-6.067467212677002,-6.329627990722656,-9.242416381835938,-17.00600814819336,-8.073085284233093,5.071281328648896,2,9
0,1.6141397953033447,0.09487988118719881,0.0018301963806152343,0.0004447273489943065,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.628847599029541,-7.110539436340332,-8.63459587097168,-12.943774223327637,-25.787181854248047,-12.420987796783447,6.991862162675909,6,10
1,1.240648078918457,0.11030241634765074,0.0013091564178466797,0.0006031158827250992,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.954627990722656,-6.112614154815674,-7.828995704650879,-11.814977645874023,-25.742399215698242,-11.690722942352295,7.2927892553824805,4,10
2,1.3111474990844727,0.10726579096797038,0.0015671730041503906,0.0004923925042173864,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.624411106109619,-7.14117956161499,-7.880086421966553,-12.807825088500977,-25.749094009399414,-12.24051923751831,7.058732493105284,5,10
3,1.6427655220031738,0.07603614249429677,0.0008926868438720703,0.0003269898217803142,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-6.815921306610107,-5.5799360275268555,-5.568704605102539,-8.276351928710938,-16.647083282470703,-8.577599430084229,4.155725290597791,3,10
4,1.3944291591644287,0.07439837610032338,0.0009173870086669922,0.00016299940174561696,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-8.322961807250977,-1.6231118440628052,-4.17228364944458,-8.334969520568848,-2.457022190093994,-4.982069802284241,2.853689314973909,1,10
5,1.3535956382751464,0.059362197321144235,0.0005026817321777344,0.0006368699920335179,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-1.6668750047683716,-5.210757255554199,-5.745494842529297,-8.385190963745117,-16.53165626525879,-7.507994866371154,4.993962880263086,2,10
